PModel,Task,OpType,Opt,InsCount,Timer,Time,LNum,AvTime,AbsErr,RelErr,TaskPerf
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000021,19,0.000094,0.000073,77.7,1190476.19
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,float,O1,25,clock,0.000018,20,0.000094,0.000076,80.9,1388888.89
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000067,1,0.000129,0.000062,48.1,373134.33
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000073,2,0.000129,0.000056,43.5,342465.75
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000020,3,0.000129,0.000109,84.5,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000022,4,0.000129,0.000107,83.0,1136363.64
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000018,5,0.000129,0.000111,86.1,1388888.89
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000023,6,0.000129,0.000106,82.2,1086956.52
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000018,7,0.000129,0.000111,86.1,1388888.89
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000021,8,0.000129,0.000108,83.7,1190476.19
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000022,9,0.000129,0.000107,83.0,1136363.64
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000019,10,0.000129,0.000110,85.3,1315789.47
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000237,11,0.000129,0.000108,83.6,105485.23
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000766,12,0.000129,0.000637,493.3,32637.08
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000975,13,0.000129,0.000846,655.2,25641.03
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000158,14,0.000129,0.000029,22.4,158227.85
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000019,15,0.000129,0.000110,85.3,1315789.47
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000022,16,0.000129,0.000107,83.0,1136363.64
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000024,17,0.000129,0.000105,81.4,1041666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000027,18,0.000129,0.000102,79.1,925925.93
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000019,19,0.000129,0.000110,85.3,1315789.47
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,dgemv,double,O1,25,clock,0.000032,20,0.000129,0.000097,75.2,781250.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000059,1,0.000021,0.000038,177.6,423728.81
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000018,2,0.000021,0.000003,15.3,1388888.89
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000016,3,0.000021,0.000005,24.7,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000047,4,0.000021,0.000026,121.2,531914.89
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000024,5,0.000021,0.000003,12.9,1041666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000020,6,0.000021,0.000001,5.9,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000015,7,0.000021,0.000006,29.4,1666666.67
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000017,8,0.000021,0.000004,20.0,1470588.24
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000018,9,0.000021,0.000003,15.3,1388888.89
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000018,10,0.000021,0.000003,15.3,1388888.89
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000016,11,0.000021,0.000005,24.7,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000017,12,0.000021,0.000004,20.0,1470588.24
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000020,13,0.000021,0.000001,5.9,1250000.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000016,14,0.000021,0.000005,24.7,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000017,15,0.000021,0.000004,20.0,1470588.24
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000019,16,0.000021,0.000002,10.6,1315789.47
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000017,17,0.000021,0.000004,20.0,1470588.24
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000016,18,0.000021,0.000005,24.7,1562500.00
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000017,19,0.000021,0.000004,20.0,1470588.24
Intel(R) Core(TM) i3-8100 CPU @ 3.60GHz,sgemv,int,O2,25,clock,0.000018,20,0.000021,0.000003,15.3,1388888.89
